item,task,worker,tstart,tproc
5,50,5,2305.200000,3.600000
5,51,5,2308.800000,3.600000
8,6,5,2312.400000,55.200000
11,21,3,2315.400000,18.000000
9,27,4,2316.600000,60.000000
10,4,1,2325.000000,91.200000
11,22,3,2333.400000,18.000000
11,23,3,2351.400000,18.000000
4,55,6,2352.000000,66.000000
5,52,0,2359.200000,37.800000
6,48,5,2367.600000,72.000000
8,10,3,2369.400000,36.600000
9,5,4,2376.600000,87.600000
11,13,2,2386.200000,94.800000
5,53,0,2397.000000,10.800000
13,8,3,2406.000000,35.400000
5,54,0,2407.800000,51.000000
8,30,1,2416.200000,25.200000
7,45,6,2418.000000,100.800000
6,49,5,2439.600000,6.000000
8,31,3,2441.400000,15.000000
10,14,1,2441.400000,14.400000
6,50,5,2445.600000,3.600000
6,51,5,2449.200000,3.600000
12,3,5,2452.800000,42.600000
10,15,1,2455.800000,6.000000
8,32,3,2456.400000,30.000000
6,52,0,2458.800000,37.800000
13,2,1,2461.800000,16.800000
5,55,4,2464.200000,66.000000
9,14,1,2478.600000,14.400000
10,27,2,2481.000000,60.000000
11,4,3,2486.400000,91.200000
9,15,1,2493.000000,6.000000
8,33,5,2495.400000,25.200000
6,53,0,2496.600000,10.800000
13,24,1,2499.000000,14.400000
6,54,0,2507.400000,51.000000
13,25,1,2513.400000,29.400000
9,6,6,2518.800000,55.200000
8,34,5,2520.600000,18.000000
12,26,4,2530.200000,31.200000
14,11,5,2538.600000,31.200000
7,46,2,2541.000000,97.800000
8,35,1,2542.800000,18.000000
15,1,0,2558.400000,15.600000
8,36,1,2560.800000,21.000000
6,55,4,2561.400000,66.000000
10,5,5,2569.800000,87.600000
9,10,6,2574.000000,36.600000
12,9,0,2574.000000,21.600000
11,27,3,2577.600000,60.000000
8,37,1,2581.800000,57.600000
12,19,0,2595.600000,18.600000
13,17,6,2610.600000,12.000000
12,20,0,2614.200000,8.400000
12,21,6,2622.600000,18.000000
13,18,0,2622.600000,21.000000
14,12,4,2627.400000,30.600000
9,28,3,2637.600000,43.800000
7,47,2,2638.800000,80.400000
8,38,1,2639.400000,22.800000
11,5,6,2640.600000,87.600000
12,22,0,2643.600000,18.000000
10,6,5,2657.400000,55.200000
14,16,4,2658.000000,18.000000
12,23,0,2661.600000,18.000000
8,39,1,2662.200000,7.200000
8,40,1,2669.400000,25.800000
14,13,4,2676.000000,94.800000
15,16,0,2679.600000,18.000000
12,13,3,2681.400000,94.800000
8,41,1,2695.200000,9.600000
9,29,0,2697.600000,14.400000
8,42,1,2704.800000,21.000000
15,7,0,2712.000000,16.800000
10,10,5,2712.600000,36.600000
7,48,2,2719.200000,72.000000
8,43,1,2725.800000,10.800000
11,6,6,2728.200000,55.200000
13,3,0,2728.800000,42.600000
8,44,1,2736.600000,82.800000
15,8,5,2749.200000,35.400000
9,30,4,2770.800000,25.200000
13,26,0,2771.400000,31.200000
10,28,3,2776.200000,43.800000
11,10,6,2783.400000,36.600000
12,14,5,2784.600000,14.400000
7,49,2,2791.200000,6.000000
9,31,4,2796.000000,15.000000
7,50,2,2797.200000,3.600000
12,15,5,2799.000000,6.000000
7,51,2,2800.800000,3.600000
13,11,0,2802.600000,31.200000
7,52,2,2804.400000,37.800000
14,1,5,2805.000000,15.600000
9,32,4,2811.000000,30.000000
8,45,1,2819.400000,100.800000
10,29,3,2820.000000,14.400000
11,28,6,2820.000000,43.800000
14,7,5,2820.600000,16.800000
13,12,0,2833.800000,30.600000
15,11,3,2834.400000,31.200000
14,8,5,2837.400000,35.400000
9,33,4,2841.000000,25.200000
7,53,2,2842.200000,10.800000
7,54,2,2853.000000,51.000000
10,30,6,2863.800000,25.200000
11,29,0,2864.400000,14.400000
12,4,3,2865.600000,91.200000
9,34,4,2866.200000,18.000000
13,9,5,2872.800000,21.600000
11,14,0,2878.800000,14.400000
9,35,4,2884.200000,18.000000
10,31,6,2889.000000,15.000000
11,15,0,2893.200000,6.000000
13,19,5,2894.400000,18.600000
14,9,0,2899.200000,21.600000
9,36,4,2902.200000,21.000000
10,32,6,2904.000000,30.000000
15,12,2,2904.000000,30.600000
7,55,5,2913.000000,66.000000
13,20,1,2920.200000,8.400000
14,2,0,2920.800000,16.800000
9,37,4,2923.200000,57.600000
13,21,1,2928.600000,18.000000
8,46,6,2934.000000,97.800000
10,33,2,2934.600000,25.200000
14,24,0,2937.600000,14.400000
13,22,1,2946.600000,18.000000
14,3,0,2952.000000,42.600000
11,30,3,2956.800000,25.200000
10,34,2,2959.800000,18.000000
12,5,1,2964.600000,87.600000
10,35,2,2977.800000,18.000000
13,23,5,2979.000000,18.000000
15,9,4,2980.800000,21.600000
9,38,3,2982.000000,22.800000
14,14,0,2994.600000,14.400000
10,36,2,2995.800000,21.000000
16,11,5,2997.000000,31.200000
15,2,4,3002.400000,16.800000
9,39,3,3004.800000,7.200000
11,31,0,3009.000000,15.000000
9,40,3,3012.000000,25.800000
14,25,2,3016.800000,29.400000
15,3,4,3019.200000,42.600000
11,32,0,3024.000000,30.000000
16,12,5,3028.200000,30.600000
8,47,6,3031.800000,80.400000
9,41,3,3037.800000,9.600000
10,37,2,3046.200000,57.600000
9,42,3,3047.400000,21.000000
12,27,1,3052.200000,60.000000
11,33,0,3054.000000,25.200000
13,13,5,3058.800000,94.800000
14,26,4,3061.800000,31.200000
9,43,3,3068.400000,10.800000
9,44,3,3079.200000,82.800000
11,34,0,3079.200000,18.000000
14,17,4,3093.000000,12.000000
16,1,0,3097.200000,15.600000
17,11,2,3103.800000,31.200000
11,35,4,3105.000000,18.000000
8,48,6,3112.200000,72.000000
10,38,1,3112.200000,22.800000
12,6,0,3112.800000,55.200000
11,36,4,3123.000000,21.000000
10,39,1,3135.000000,7.200000
14,4,2,3135.000000,91.200000
10,40,1,3142.200000,25.800000
15,24,4,3144.000000,14.400000
13,4,5,3153.600000,91.200000
15,25,4,3158.400000,29.400000
9,45,3,3162.000000,100.800000
10,41,1,3168.000000,9.600000
11,37,0,3168.000000,57.600000
10,42,1,3177.600000,21.000000
8,49,6,3184.200000,6.000000
12,10,4,3187.800000,36.600000
8,50,6,3190.200000,3.600000
8,51,6,3193.800000,3.600000
8,52,6,3197.400000,37.800000
10,43,1,3198.600000,10.800000
10,44,1,3209.400000,82.800000
15,26,4,3224.400000,31.200000
16,16,0,3225.600000,18.000000
11,38,2,3226.200000,22.800000
8,53,6,3235.200000,10.800000
14,5,0,3243.600000,87.600000
12,28,5,3244.800000,43.800000
8,54,6,3246.000000,51.000000
11,39,2,3249.000000,7.200000
13,5,4,3255.600000,87.600000
11,40,2,3256.200000,25.800000
9,46,3,3262.800000,97.800000
11,41,2,3282.000000,9.600000
12,29,5,3288.600000,14.400000
11,42,2,3291.600000,21.000000
10,45,1,3292.200000,100.800000
15,13,6,3297.000000,94.800000
16,7,5,3303.000000,16.800000
11,43,2,3312.600000,10.800000
16,8,5,3319.800000,35.400000
11,44,2,3323.400000,82.800000
8,55,0,3331.200000,66.000000
13,6,4,3343.200000,55.200000
14,18,5,3355.200000,21.000000
12,30,3,3360.600000,25.200000
14,15,5,3376.200000,6.000000
16,2,5,3382.200000,16.800000
12,31,3,3385.800000,15.000000
14,27,6,3391.800000,60.000000
9,47,1,3393.000000,80.400000
15,14,0,3397.200000,14.400000
13,10,4,3398.400000,36.600000
16,3,5,3399.000000,42.600000
10,46,3,3400.800000,97.800000
11,45,2,3406.200000,100.800000
15,17,0,3411.600000,12.000000
15,18,0,3423.600000,21.000000
13,14,4,3435.000000,14.400000
16,9,5,3441.600000,21.600000
15,15,0,3444.600000,6.000000
13,15,4,3449.400000,6.000000
17,12,0,3450.600000,30.600000
12,32,6,3451.800000,30.000000
18,16,4,3455.400000,18.000000
14,6,5,3463.200000,55.200000
9,48,4,3473.400000,72.000000
16,24,1,3473.400000,14.400000
17,1,0,3481.200000,15.600000
13,27,6,3481.800000,60.000000
16,25,1,3487.800000,29.400000
17,7,0,3496.800000,16.800000
15,4,3,3498.600000,91.200000
10,47,2,3507.000000,80.400000
17,8,0,3513.600000,35.400000
16,17,1,3517.200000,12.000000
12,33,5,3518.400000,25.200000
14,10,1,3529.200000,36.600000
11,46,6,3541.800000,97.800000
12,34,5,3543.600000,18.000000
9,49,4,3545.400000,6.000000
16,26,0,3549.000000,31.200000
9,50,4,3551.400000,3.600000
9,51,4,3555.000000,3.600000
9,52,4,3558.600000,37.800000
12,35,5,3561.600000,18.000000
14,19,1,3565.800000,18.600000
12,36,5,3579.600000,21.000000
16,18,0,3580.200000,21.000000
14,20,1,3584.400000,8.400000
10,48,2,3587.400000,72.000000
13,28,3,3589.800000,43.800000
14,21,1,3592.800000,18.000000
9,53,4,3596.400000,10.800000
12,37,5,3600.600000,57.600000
15,5,0,3601.200000,87.600000
9,54,4,3607.200000,51.000000
14,22,1,3610.800000,18.000000
14,23,1,3628.800000,18.000000
13,29,3,3633.600000,14.400000
11,47,6,3639.600000,80.400000
14,28,1,3646.800000,43.800000
13,30,3,3648.000000,25.200000
17,16,4,3658.200000,18.000000
18,1,5,3658.200000,15.600000
9,55,2,3659.400000,66.000000
12,38,3,3673.200000,22.800000
18,7,5,3673.800000,16.800000
17,2,4,3676.200000,16.800000
10,49,0,3688.800000,6.000000
13,31,5,3690.600000,15.000000
14,29,1,3690.600000,14.400000
18,8,4,3693.000000,35.400000
10,50,0,3694.800000,3.600000
12,39,3,3696.000000,7.200000
10,51,0,3698.400000,3.600000
10,52,0,3702.000000,37.800000
12,40,3,3703.200000,25.800000
14,30,1,3705.000000,25.200000
13,32,5,3705.600000,30.000000
11,48,6,3720.000000,72.000000
15,6,2,3725.400000,55.200000
16,19,4,3728.400000,18.600000
12,41,3,3729.000000,9.600000
14,31,1,3730.200000,15.000000
17,13,5,3735.600000,94.800000
